Alpha,Cl,Cd
-7.25,-0.3995,0.10409
-7,-0.3854,0.10006
-6.75,-0.4141,0.10004
-6.5,-0.4081,0.09675
-6.25,-0.4377,0.09648
-6,-0.4325,0.09341
-5.75,-0.4316,0.0906
-5.5,-0.4358,0.08818
-5.25,-0.4405,0.08584
-5,-0.4427,0.08348
-4.75,-0.4478,0.08141
-4.5,-0.4484,0.07884
-4.25,-0.4522,0.07687
-3.25,-0.2949,0.04719
-3,-0.2503,0.04217
-2.75,-0.2204,0.039
-2.5,-0.1888,0.03642
-2.25,-0.1622,0.03473
-2,-0.1344,0.0332
-1.75,-0.1083,0.03175
-1.5,-0.0839,0.03069
-1.25,-0.0602,0.02976
-1,-0.0346,0.02884
-0.75,-0.0042,0.02754
-0.5,0.001,0.02471
-0.25,0.0238,0.02526
0,0.0455,0.02585
0.25,0.0666,0.02649
0.5,0.0873,0.02718
0.75,0.1074,0.0279
1,0.1272,0.02868
1.25,0.1465,0.02951
1.5,0.1654,0.0304
1.75,0.1838,0.03133
2,0.2287,0.03313
2.25,0.2762,0.03481
2.5,0.3196,0.03624
2.75,0.3659,0.03767
3,0.4028,0.03877
3.25,0.4386,0.03979
3.5,0.4781,0.04079
3.75,0.5215,0.0417
4,0.5572,0.04245
4.25,0.5909,0.04309
4.5,0.6355,0.04342
4.75,0.6735,0.04367
5,0.7092,0.04374
5.25,0.7641,0.04281
5.5,0.7945,0.04258
5.75,0.855,0.04035
6,0.9035,0.03827
6.25,0.9909,0.0335
6.5,1.044,0.0309
6.75,1.0927,0.02896
7,1.1235,0.02852
7.25,1.1512,0.02879
7.5,1.1702,0.02982
7.75,1.1887,0.03111
8,1.2081,0.03263
8.25,1.2283,0.03428
8.5,1.2518,0.03603
8.75,1.2688,0.03795
9,1.289,0.03999
9.25,1.3083,0.04209
9.5,1.3259,0.04456
9.75,1.3414,0.04706
10,1.361,0.0497
10.25,1.3642,0.05259
10.5,1.3752,0.05555
10.75,1.3697,0.05886
11,1.3891,0.0621
11.25,1.3688,0.0659
11.5,1.3459,0.06984
11.75,1.3184,0.0739
12,1.2867,0.07864
12.25,1.2512,0.08436
12.5,1.216,0.09113
12.75,1.1841,0.09881
